time, light, accx, accy, accz,
0.032, 1.37189, -0.00616789, -0.0549355, 9.95656, 
0.064, 1.38107, 3.47131, -1.22065, 11.7224, 
0.096, 1.38617, 1.183, -0.138539, 9.83422, 
0.128, 1.40296, 1.86656, 0.225198, 9.80628, 
0.16, 1.41603, -0.0142773, 0.174418, 9.81532, 
0.192, 1.43231, 0.0310899, -0.0410989, 9.85398, 
0.224, 1.44218, 1.70945, 0.0488216, 9.74511, 
0.256, 1.45548, -0.0417464, 0.0320062, 9.81003, 
0.288, 1.478, -0.0737799, -0.125928, 9.86545, 
0.32, 1.48723, -0.114843, -0.0270575, 9.80199, 
0.352, 1.5122, -0.0298199, -0.126274, 9.86589, 
0.384, 1.52485, -0.0038553, 0.0360272, 9.79907, 
0.416, 1.53771, -0.0109576, -0.0564699, 9.81486, 
0.448, 1.54857, -0.00403124, -0.0121416, 9.87638, 
0.48, 1.56647, 1.6723, -0.076739, 9.85923, 
0.512, 1.57047, -0.0678979, -0.0286213, 7.48888, 
0.544, 1.57449, 0.0584407, 0.0147948, 9.78622, 
0.576, 1.58502, -0.0139139, 0.107386, 9.86633, 
0.608, 1.59258, 0.0249135, -0.00834078, 9.7872, 
0.64, 1.58749, 0.0500463, 0.00904903, 9.79791, 
0.672, 1.60167, 0.0491998, 0.000715522, 9.7291, 
0.704, 1.60886, 0.0334059, 0.0546224, 9.84664, 
0.736, 1.6061, -0.104697, 0.00152308, 9.71265, 
0.768, 1.6167, -0.0637267, -0.0351732, 9.79681, 
0.8, 1.62741, 0.0902153, -0.0519294, 9.82556, 
0.832, 1.63428, -0.118166, 0.0515772, 9.79025, 
0.864, 1.62213, 5.35267e-05, -0.00702969, 9.73651, 
0.896, 1.64128, -0.00122358, -0.0685992, 9.73897, 
0.928, 1.63162, 0.010735, 0.0812567, 9.82267, 
0.96, 1.653, -0.00735858, 0.0281821, 9.78543, 
0.992, 1.64656, -0.022359, -0.040182, 9.78525, 
1.024, 1.65216, -0.0922603, 0.0704952, 9.78117, 
1.056, 1.65427, -0.00333986, -0.0390643, 9.77226, 
1.088, 1.67884, 0.0280593, -0.0313294, 9.81234, 
1.12, 1.6686, -0.0785489, -0.0585144, 9.8302, 
1.152, 1.68763, -0.00616539, -0.031996, 9.81251, 
1.184, 1.6785, -0.0496418, -9.16295e-05, 9.85005, 
1.216, 1.68998, -0.10378, -0.0356881, 9.83873, 
1.248, 1.68672, -0.0981389, -0.0584154, 9.8309, 
1.28, 1.71135, 0.0219629, -0.078216, 9.83737, 
1.312, 1.69991, 0.0489095, -0.0249524, 9.73407, 
1.344, 1.70729, -0.00883691, -0.06104, 9.73956, 
1.376, 1.72122, 0.0163446, 0.00393213, 9.83136, 
1.408, 1.71568, 0.00709745, 0.0397639, 9.87425, 
1.44, 1.72528, 0.0457875, 0.0282754, 9.79108, 
1.472, 1.72732, -0.013064, 0.0177194, 9.81375, 
1.504, 1.74388, 0.00322193, 0.0325717, 9.86257, 
1.536, 1.73812, 0.109401, 0.0128464, 9.90233, 
1.568, 1.74951, -0.0142394, -0.0521631, 9.80619, 
1.6, 1.75458, 0.0626346, -0.0769411, 9.85791, 
1.632, 1.76702, 0.0380406, -0.048213, 9.83673, 
1.664, 1.76773, -0.00579277, 0.0361638, 9.77318, 
1.696, 1.77855, 0.0546053, -0.028112, 9.74974, 
1.728, 1.76987, -0.0831372, -0.06769, 9.81889, 
1.76, 1.77386, 0.0171845, 0.0547132, 9.792, 
1.792, 1.78855, 0.0202337, 0.050501, 9.84315, 
1.824, 1.78843, 0.0303579, -0.285664, 9.75645, 
1.856, 1.795, 0.0863793, 0.0337579, 9.77197, 
1.888, 1.80965, -0.106013, 0.0322214, 9.78755, 
1.92, 1.82486, 0.0664336, -0.00943709, 9.86795, 
1.952, 1.82225, -0.0771309, 0.0298833, 9.72367, 
1.984, 1.81705, -0.00913601, -0.0863962, 9.80268, 
2.016, 1.83093, -0.0387928, -0.0380863, 9.77714, 
2.048, 1.84487, 0.00122149, -0.025088, 9.74167, 
2.08, 1.84478, 0.0621253, 0.0357658, 9.84903, 
2.112, 1.84834, 0.0360568, -0.0771427, 9.82959, 
2.144, 1.86044, 0.0322355, -0.0791537, 9.83331, 
2.176, 1.86207, -0.036374, -0.0523167, 9.90738, 
2.208, 1.85259, -0.0307445, -0.00790485, 9.8424, 
2.24, 1.87494, 0.0738717, -0.0730536, 9.76908, 
2.272, 1.86849, 0.0279216, -0.0951211, 9.81026, 
2.304, 1.89565, -0.0896707, -0.129599, 9.88878, 
2.336, 1.89661, -0.0047597, -0.0218575, 9.79476, 
2.368, 1.90493, -0.00610406, 0.0840877, 9.759, 
2.4, 1.91215, -0.0274713, 0.00994413, 9.80278, 
2.432, 1.90153, 0.0279404, 0.0720801, 9.80085, 
2.464, 1.91489, 0.0355855, -0.0430464, 9.84085, 
2.496, 1.91424, 0.00179428, 0.0869392, 9.71519, 
2.528, 1.91875, -0.0920355, -0.0605647, 9.83697, 
2.56, 1.92649, 0.0666184, -0.0193101, 9.89127, 
2.592, 1.92704, -0.0190031, -0.0249218, 9.83491, 
2.624, 1.94726, -0.0575219, 0.0231283, 9.84785, 
2.656, 1.94839, 0.0890404, 0.0852643, 9.81656, 
2.688, 1.97117, -0.0421411, 0.0474353, 9.79725, 
2.72, 1.96184, -0.106323, -0.0172416, 9.76969, 
2.752, 1.98037, 0.0837716, 0.0432833, 9.87961, 
2.784, 1.97817, -0.00336199, -0.0320036, 9.73959, 
2.816, 1.98859, 0.0221944, -0.00103319, 9.82802, 
2.848, 1.98451, 0.0566282, 0.0445035, 9.87062, 
2.88, 1.99314, -0.0946653, 0.0165527, 9.79417, 
2.912, 2.01158, -0.0286427, 0.090749, 9.84418, 
2.944, 2.02475, -0.0824571, 0.0287284, 9.76132, 
2.976, 2.00912, -0.0499814, -0.121602, 9.80848, 
3.008, 2.01255, -0.0123089, -0.122459, 9.86732, 
3.04, 2.04019, 0.0372633, -0.026078, 9.80404, 
3.072, 2.02293, -0.0339129, 0.032193, 9.76221, 
3.104, 2.02732, 0.0463562, 0.0228101, 9.78941, 
3.136, 2.03199, -0.0565432, 0.0267575, 9.85061, 
3.168, 2.06438, -1.7354, 0.544338, 9.80183, 
3.2, 2.06581, -0.0486473, -0.00677167, 9.74211, 
3.232, 2.06963, -0.0801411, -0.00104946, 9.86779, 
3.264, 2.07629, 0.00890239, 0.0696685, 9.77499, 
3.296, 2.08799, -0.00887832, 0.0190363, 9.80536, 
3.328, 2.06885, -1.84757, 0.382377, 9.82313, 
3.36, 2.0911, 0.0190851, 0.306052, 9.78299, 
3.392, 2.09695, -0.0386187, -0.0041262, 9.85547, 
3.424, 2.10801, -0.0250572, -0.0965759, 9.89202, 
3.456, 2.12099, -1.28815, 0.168871, 9.87355, 
3.488, 2.12685, -0.000614584, 0.114703, 9.73708, 
3.52, 2.11945, -0.0793683, -0.0381839, 9.83341, 
3.552, 2.12137, 0.0343802, -0.0522411, 9.73455, 
3.584, 2.12549, -0.000500666, 0.0176161, 9.8079, 
3.616, 2.11409, -0.93019, 0.0439441, 9.78498, 
3.648, 2.12446, -0.0286619, 0.0293387, 9.95368, 
3.68, 2.13376, 0.00487838, 0.0827566, 9.78393, 
3.712, 2.15164, 0.0413308, 0.00812967, 9.78805, 
3.744, 2.1407, -0.0144237, 0.0128717, 9.81852, 
3.776, 2.16448, -0.000479296, -0.0632026, 9.89209, 
3.808, 2.15062, -0.0299605, 0.0460012, 9.91348, 
