time, x, y, heading, vel_x, vel_y, vel_heading,
0.008, -1.99204e-09, -1.53147e-07, 0.00014498, 0, 0, 0, 
0.016, -1.98488e-09, 4.81393e-09, 0.000110752, 8.95544e-10, 1.97451e-05, -0.00427855, 
0.024, -1.65799e-09, -1.05059e-08, 8.67971e-05, 4.08613e-08, -1.91498e-06, -0.00299432, 
0.032, -1.35727e-09, -2.04038e-08, 6.85945e-05, 3.75893e-08, -1.23724e-06, -0.00227532, 
0.04, 0.000974904, -2.67299e-08, 0.00210304, 0.121863, -7.90762e-07, 0.254305, 
0.048, 0.00198359, 2.37599e-05, 0.00274497, 0.126086, 0.00297333, 0.0802413, 
0.056, 0.00304834, 0.000100646, 0.0022648, 0.133094, 0.00961076, -0.0600214, 
0.064, 0.00433145, 9.83392e-05, 0.00289432, 0.160389, -0.000288343, 0.078691, 
0.072, 0.00555288, 0.000134016, 0.00488413, 0.152678, 0.00445955, 0.248725, 
0.08, 0.00678266, 0.000159336, 0.00863549, 0.153723, 0.00316503, 0.468921, 
0.088, 0.008023, 0.000173207, 0.0138982, 0.155043, 0.00173395, 0.657839, 
0.096, 0.00933543, 0.000177107, 0.0201591, 0.164053, 0.000487426, 0.782617, 
0.104, 0.0107645, 0.000184681, 0.0269887, 0.178636, 0.000946822, 0.853699, 
0.112, 0.0123112, 0.000209204, 0.034272, 0.193341, 0.00306529, 0.910406, 
0.12, 0.0139725, 0.000255197, 0.0419879, 0.207659, 0.0057491, 0.964492, 
0.128, 0.0157475, 0.000323778, 0.0501278, 0.221872, 0.00857266, 1.01748, 
0.136, 0.0180039, 0.000418216, 0.0536153, 0.28205, 0.0118047, 0.435939, 
0.144, 0.0204129, 0.00060501, 0.056272, 0.301124, 0.0233493, 0.332084, 
0.152, 0.0228428, 0.000839475, 0.0588385, 0.303746, 0.0293081, 0.320817, 
0.16, 0.0252733, 0.00108516, 0.0614008, 0.303811, 0.0307105, 0.320285, 
0.168, 0.0277042, 0.00132786, 0.0639908, 0.303852, 0.0303379, 0.323752, 
0.176, 0.0301346, 0.00156355, 0.0665797, 0.303803, 0.0294606, 0.323607, 
0.184, 0.0325645, 0.0017915, 0.0691667, 0.303742, 0.0284939, 0.32338, 
0.192, 0.0349939, 0.00201225, 0.0717514, 0.303679, 0.0275939, 0.323091, 
0.2, 0.0374337, 0.00224744, 0.0757005, 0.304973, 0.0293991, 0.493636, 
0.208, 0.0398746, 0.00248001, 0.0810135, 0.30511, 0.0290713, 0.664119, 
0.216, 0.0423986, 0.00270996, 0.0871262, 0.315501, 0.0287431, 0.764095, 
0.224, 0.0450271, 0.00295266, 0.0936379, 0.328568, 0.0303383, 0.813963, 
0.232, 0.0476552, 0.00321526, 0.100186, 0.328508, 0.0328245, 0.81849, 
0.24, 0.0502818, 0.00348052, 0.106711, 0.328327, 0.0331579, 0.815584, 
0.248, 0.0529067, 0.00374367, 0.113212, 0.328104, 0.0328937, 0.812699, 
0.256, 0.0555295, 0.00400324, 0.119691, 0.327859, 0.032446, 0.809862, 
0.264, 0.0581503, 0.00425894, 0.126059, 0.327597, 0.0319623, 0.795983, 
0.272, 0.0607689, 0.00451083, 0.132405, 0.327326, 0.031487, 0.793234, 
0.28, 0.0633852, 0.00475916, 0.138729, 0.327043, 0.0310408, 0.790588, 
0.288, 0.0659992, 0.00500415, 0.145033, 0.326749, 0.0306242, 0.787973, 
0.296, 0.0686108, 0.00524604, 0.151262, 0.326444, 0.0302357, 0.778546, 
0.304, 0.0712198, 0.00548496, 0.15747, 0.32613, 0.0298654, 0.775991, 
0.312, 0.0738263, 0.00572106, 0.163658, 0.325806, 0.0295117, 0.773501, 
